counterparty,ticker_or_contract,cusip,product_type,underlying,quantity,price_demo,notional_usd_est,currency,trade_date,expiry,strike,option_type,exchange,notes
Millennium Management,ZN,,RATES_FUTURE,ZN,204,120.9808,20400000.0,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,SPY_20260720_P_411p65,,OPTION,SPY,623,58.18,36246.14,USD,2026-02-23,2026-07-20,411.65,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,EFA,,ETF,EFA,-934,331.01,309163.34,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,TLT_20261029_P_672p84,,OPTION,TLT,4919,125.59,617777.21,USD,2026-02-23,2026-10-29,672.84,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,XLE,,ETF,XLE,4736,370.16,1753077.76,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,XLF_20261011_P_73p31,,OPTION,XLF,3767,6.11,23016.37,USD,2026-02-23,2026-10-11,73.31,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,TLT_20260615_P_618p32,,OPTION,TLT,3568,57.77,206123.36,USD,2026-02-23,2026-06-15,618.32,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,IWM_20260920_C_215p33,,OPTION,IWM,-4275,6.66,28471.5,USD,2026-02-23,2026-09-20,215.33,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,LLY,,EQUITY,LLY,-4508,420.7,1896515.6,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,XLF_20260523_P_87p58,,OPTION,XLF,-3809,9.08,34585.72,USD,2026-02-23,2026-05-23,87.58,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,IWM_20261102_C_247p67,,OPTION,IWM,-4854,30.48,147949.92,USD,2026-02-23,2026-11-02,247.67,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,AMZN,,EQUITY,AMZN,2740,171.78,470677.2,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,TLT_20260528_C_520p99,,OPTION,TLT,-710,79.23,56253.3,USD,2026-02-23,2026-05-28,520.99,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,XLF_20261120_C_85p09,,OPTION,XLF,3693,7.97,29433.21,USD,2026-02-23,2026-11-20,85.09,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,XLF,,ETF,XLF,-3906,76.1,297246.6,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,TLT_20260627_C_668p44,,OPTION,TLT,2756,65.78,181289.68,USD,2026-02-23,2026-06-27,668.44,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Citadel,IWM_20260708_C_192p81,,OPTION,IWM,-4050,30.12,121986.0,USD,2026-02-23,2026-07-08,192.81,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
The Children's Investment Fund Management (TCI),XLF_20260619_P_66p95,,OPTION,XLF,4233,9.12,38604.96,USD,2026-02-23,2026-06-19,66.95,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
The Children's Investment Fund Management (TCI),SPY_20260529_P_437p98,,OPTION,SPY,702,70.68,49617.36,USD,2026-02-23,2026-05-29,437.98,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
The Children's Investment Fund Management (TCI),IWM_20261110_P_242p14,,OPTION,IWM,-3330,26.77,89144.1,USD,2026-02-23,2026-11-10,242.14,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
The Children's Investment Fund Management (TCI),QQQ_20260827_P_343p25,,OPTION,QQQ,4549,107.28,488016.72,USD,2026-02-23,2026-08-27,343.25,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
The Children's Investment Fund Management (TCI),IWM_20261102_C_247p67,,OPTION,IWM,-3901,30.48,118902.48,USD,2026-02-23,2026-11-02,247.67,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
The Children's Investment Fund Management (TCI),QQQ_20260926_C_411p86,,OPTION,QQQ,3672,36.86,135349.92,USD,2026-02-23,2026-09-26,411.86,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
The Children's Investment Fund Management (TCI),QQQ_20260823_C_500p87,,OPTION,QQQ,-763,63.14,48175.82,USD,2026-02-23,2026-08-23,500.87,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
The Children's Investment Fund Management (TCI),XLF_20261113_C_83p28,,OPTION,XLF,-1816,7.27,13202.32,USD,2026-02-23,2026-11-13,83.28,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
The Children's Investment Fund Management (TCI),NVDA,,EQUITY,NVDA,-2093,207.02,433292.86,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,TLT_20261029_P_672p84,,OPTION,TLT,1889,125.59,237239.51,USD,2026-02-23,2026-10-29,672.84,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,XLF_20260815_P_81p45,,OPTION,XLF,-1578,9.05,14280.9,USD,2026-02-23,2026-08-15,81.45,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,XLF_20261010_P_86p69,,OPTION,XLF,980,11.58,11348.4,USD,2026-02-23,2026-10-10,86.69,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,IWM_20260825_P_192p46,,OPTION,IWM,1570,37.82,59377.4,USD,2026-02-23,2026-08-25,192.46,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,TLT_20260602_C_522p8,,OPTION,TLT,-3967,76.21,302325.07,USD,2026-02-23,2026-06-02,522.8,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,XLF_20260616_P_73p97,,OPTION,XLF,-4830,4.62,22314.6,USD,2026-02-23,2026-06-16,73.97,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,IWM_20260611_C_220p5,,OPTION,IWM,824,10.51,8660.24,USD,2026-02-23,2026-06-11,220.5,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,IWM_20261110_P_242p14,,OPTION,IWM,2427,26.77,64970.79,USD,2026-02-23,2026-11-10,242.14,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,TLT_20260504_C_531p07,,OPTION,TLT,2957,76.9,227393.3,USD,2026-02-23,2026-05-04,531.07,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,QQQ_20261118_C_351p7,,OPTION,QQQ,2477,53.11,131553.47,USD,2026-02-23,2026-11-18,351.7,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,QQQ_20260704_C_453p64,,OPTION,QQQ,4376,41.23,180422.48,USD,2026-02-23,2026-07-04,453.64,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
D. E. Shaw & Co.,QQQ_20260709_C_482p99,,OPTION,QQQ,2248,45.83,103025.84,USD,2026-02-23,2026-07-09,482.99,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Two Sigma,XLF_20260815_P_81p45,,OPTION,XLF,-3846,9.05,34806.3,USD,2026-02-23,2026-08-15,81.45,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Two Sigma,QQQ_20260903_C_416p67,,OPTION,QQQ,-3609,18.4,66405.6,USD,2026-02-23,2026-09-03,416.67,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Two Sigma,EFA,,ETF,EFA,1610,331.01,532926.1,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Two Sigma,XLF_20261120_C_85p09,,OPTION,XLF,-2069,7.97,16489.93,USD,2026-02-23,2026-11-20,85.09,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Two Sigma,SHY,,ETF,SHY,1034,73.79,76298.86,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Two Sigma,AMZN,,EQUITY,AMZN,-3382,171.78,580959.96,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Two Sigma,QQQ_20261103_C_464p0,,OPTION,QQQ,607,56.48,34283.36,USD,2026-02-23,2026-11-03,464.0,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Goldman Sachs Asset Management,YM,,INDEX_FUTURE,YM,-98,5808.53,28461797.0,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Goldman Sachs Asset Management,QQQ_20260502_C_486p05,,OPTION,QQQ,-3627,66.65,241739.55,USD,2026-02-23,2026-05-02,486.05,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Goldman Sachs Asset Management,QQQ,,ETF,QQQ,-4921,424.92,2091031.32,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Goldman Sachs Asset Management,SPY_20261105_C_424p73,,OPTION,SPY,2502,90.25,225805.5,USD,2026-02-23,2026-11-05,424.73,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Goldman Sachs Asset Management,EEM,,ETF,EEM,912,488.13,445174.56,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Goldman Sachs Asset Management,XLF_20261113_C_83p28,,OPTION,XLF,-1729,7.27,12569.83,USD,2026-02-23,2026-11-13,83.28,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Goldman Sachs Asset Management,TLT_20260912_C_529p02,,OPTION,TLT,666,80.98,53932.68,USD,2026-02-23,2026-09-12,529.02,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Goldman Sachs Asset Management,SPY_20260522_C_419p7,,OPTION,SPY,1965,90.85,178520.25,USD,2026-02-23,2026-05-22,419.7,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Goldman Sachs Asset Management,XLF_20260424_C_76p71,,OPTION,XLF,4522,3.15,14244.3,USD,2026-02-23,2026-04-24,76.71,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Farallon Capital,AAPL,,EQUITY,AAPL,3819,454.81,1736919.39,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Farallon Capital,TLT_20260625_C_545p16,,OPTION,TLT,-1913,44.7,85511.1,USD,2026-02-23,2026-06-25,545.16,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Farallon Capital,TLT_20260727_C_594p16,,OPTION,TLT,4832,36.05,174193.6,USD,2026-02-23,2026-07-27,594.16,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Farallon Capital,TLT_20261114_P_646p68,,OPTION,TLT,3483,49.71,173139.93,USD,2026-02-23,2026-11-14,646.68,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Farallon Capital,QQQ_20260903_C_416p67,,OPTION,QQQ,4462,18.4,82100.8,USD,2026-02-23,2026-09-03,416.67,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Farallon Capital,GS,,EQUITY,GS,-1320,306.91,405121.2,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Farallon Capital,SPY_20260821_C_493p06,,OPTION,SPY,1166,27.51,32076.66,USD,2026-02-23,2026-08-21,493.06,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Farallon Capital,QQQ_20260804_P_509p08,,OPTION,QQQ,489,80.15,39193.35,USD,2026-02-23,2026-08-04,509.08,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Farallon Capital,QQQ_20261103_C_464p0,,OPTION,QQQ,-2520,56.48,142329.6,USD,2026-02-23,2026-11-03,464.0,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,EWJ,,ETF,EWJ,311,443.24,137847.64,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,TLT_20261101_C_495p7,,OPTION,TLT,1876,111.85,209830.6,USD,2026-02-23,2026-11-01,495.7,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,QQQ_20260502_C_486p05,,OPTION,QQQ,2208,66.65,147163.2,USD,2026-02-23,2026-05-02,486.05,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,IWM_20260831_P_196p94,,OPTION,IWM,-1436,32.65,46885.4,USD,2026-02-23,2026-08-31,196.94,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,QQQ_20261118_C_351p7,,OPTION,QQQ,-4252,53.11,225823.72,USD,2026-02-23,2026-11-18,351.7,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,XLF_20260901_P_73p05,,OPTION,XLF,2279,7.41,16887.39,USD,2026-02-23,2026-09-01,73.05,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,XLF_20260730_C_81p5,,OPTION,XLF,-4796,8.04,38559.84,USD,2026-02-23,2026-07-30,81.5,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,XLF_20261009_P_66p76,,OPTION,XLF,4029,8.65,34850.85,USD,2026-02-23,2026-10-09,66.76,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,TLT_20261107_P_490p24,,OPTION,TLT,-3851,66.33,255436.83,USD,2026-02-23,2026-11-07,490.24,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,SPY,,ETF,SPY,-3445,487.38,1679024.1,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,BAC,,EQUITY,BAC,2730,168.67,460469.1,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,TLT_20260627_C_668p44,,OPTION,TLT,-1318,65.78,86698.04,USD,2026-02-23,2026-06-27,668.44,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,QQQ_20261027_C_349p14,,OPTION,QQQ,-3373,50.34,169796.82,USD,2026-02-23,2026-10-27,349.14,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Renaissance Technologies,QQQ_20260709_C_482p99,,OPTION,QQQ,-2362,45.83,108250.46,USD,2026-02-23,2026-07-09,482.99,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
AQR Capital Management,MS,,EQUITY,MS,-4347,40.26,175010.22,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
AQR Capital Management,TLT_20260504_C_531p07,,OPTION,TLT,-4084,76.9,314059.6,USD,2026-02-23,2026-05-04,531.07,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
AQR Capital Management,IWM,,ETF,IWM,522,217.35,113456.7,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
AQR Capital Management,QQQ_20260823_C_477p18,,OPTION,QQQ,2188,39.72,86907.36,USD,2026-02-23,2026-08-23,477.18,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
AQR Capital Management,QQQ_20260709_C_482p99,,OPTION,QQQ,-2360,45.83,108158.8,USD,2026-02-23,2026-07-09,482.99,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
